,Informant #,Age,Sex,County,City,State,Geolocation,Type,Education,Generation,Field worker,Notes
ME271,271,72,M,Waldo,Searsport,ME,"44.4583° N, 68.9242° W",,,,GL,
ME272,272,90,F,Knox,Owls Head,ME,"44.0822° N, 69.0572° W",,,,GL,
MA273,273,76,M,Bristol,Westport (South Westport),MA,"41.6389° N, 71.0500° W",,,,RH,
MA274,274,72,M,Bristol,Fall River,MA,"41.6981° N, 71.1469° W",,,,RH,
VT275,275,88,M,Addison,Cornwall,VT,"43.9655° N, 73.2202° W﻿",,,,BB,
VT276,276,54,M,Addison,Cornwall,VT,"43.9655° N, 73.2202° W﻿",,,,BB,
VT277,277,58,M,Rutland,Mount Holly (Belmont),VT,"43.4392° N, 72.8108° W",,,,BB,
VT278,278,73,M,Rutland,Walingford (South Walingford),VT,"43.4578° N, 72.9469° W",,,,BB,
VT279,279,75,M,Rutland,Mount Holly (Belmont),VT,"43.4392° N, 72.8108° W",,,,BB,
VT280,280,56,M,Bennington,Shaftsbury (South Shaftsbury),VT,"42.9631° N, 73.2075° W",,,,BB,
VT281,281,75,M,Bennington,Bennington (Old Bennington),VT,"42.8911° N, 73.2081° W",,,,BB,
CT282,282,73,M,New Haven,Wolcott,CT,"41.6011° N, 72.9750° W",,,,MLH,
CT283,283,69,M,New Haven,Milford,CT,"41.2242° N, 73.0597° W",,,,MLH,LH age = 68
MA284,284,75,M,Plymouth,Hingham,MA,"42.2417° N, 70.8903° W",,,,MLH,
MA285,285,BLANK,M,Norfolk,Cohasset (Beechwood),MA,"42.2416° N, 70.8041° W",,,,MLH,LH age = 70
CT286,286,36,M,New Haven,Wolcott,CT,"41.6011° N, 72.9750° W",,,,MLH,
CT287,287,65,M,Fairfield,New Fairfield,CT,"41.4833° N, 73.4833° W",,,,MLH,
RI288,288,63,F,Providence,Providence,RI,"41.8236° N, 71.4222° W",,,,RH,
MA289,289,63,F,Norfolk,Wrentham,MA,"42.0666° N, 71.3286° W",,,,RH,
RI290,290,46,F,Providence,Providence,RI,"41.8236° N, 71.4222° W",,,,RH,
MA291,291,61,F,Hampshire,Southampton,MA,"42.2291° N, 72.7305° W",,,,BB,
ME292,292,90,M,Hancock,Ellsworth,ME,44.5722° N 68.4761° W,,,,GL,Poss LH Penobscot Inf.; Bio mentions time in Ellsworth
ME293,293,83,F,Hancock,Ellsworth,ME,44.5722° N 68.4761° W,,,,GL,
ME294,294,81,M,Hancock,Blue Hill ,ME,"44.4138° N, 68.5866° W",,,,GL,LH town = Bluehill
ME295,295,58,F,Hancock,Blue Hill ,ME,"44.4138° N, 68.5866° W",,,,GL,LH town = Bluehill
ME296,296,80,F,Hancock,Mount Desert (Northeast Harbor),ME,"44.3428° N, 68.3071° W",,,,GL,Poss Supp to SW Harbor Inf. P 233 LH
ME297,297,59,F,Hancock,Gouldsboro (Gouldsboro),ME,"44.4783° N, 68.0383° W",,,,GL,
ME298,298,77,F,Hancock,Gouldsboro (West Gouldsboro),ME,"44.4783° N, 68.0383° W",,,,GL,LH town = just Jonesport
ME299,299,90,M,Washington,Jonesport (Head Harbor Island),ME,"44.5328° N, 67.5983° W",,,,GL,LH town = just Jonesport
ME300,300,61,F,Washington,Jonesport (Mason's Bay),ME,"44.5328° N, 67.5983° W",,,,GL,LH town = just Jonesport
ME301,301,66,M,Washington,Machias,ME,"44.6833° N, 67.4667° W",,,,GL,
ME302,302,50,M,BLANK,Roque Bluffs,ME,"44.6233° N, 67.4713° W",,,,GL,LH county = Washington
ME303,303,68,F,Washington,Lubec (North Lubec),ME,"44.8408° N, 67.0156° W",,,,GL,
ME304,304,70,M,Washington,Perry,ME,"44.9750° N, 67.0758° W",,,,GL,
ME305,305,64,M,Washington,Calais (Bog Brook),ME,"45.1661° N, 67.2425° W",,,,GL,
ME306,306,53,M,Washington,Calais (Red Beach),ME,"45.1661° N, 67.2425° W",,,,GL,
NB307,307,87,F,Charlotte,St. Stephen,NB,"45.1922° N, 67.2772° W",,,,GL,
ME308,308,60,M,Knox,Rockland,ME,"44.1094° N, 69.1147° W",,,,GL,
ME309,309,81,F,Cumberland,Brunswick,ME,"43.9108° N, 69.9630° W",,,,GL,
ME310,310,74,F,Sagadahoc,Topsham,ME,"43.8717° N, 69.8589° W",,,,GL,
ME311,311,69,M,Cumberland,Bailey's Island (Harpswell),ME,"43.7375° N, 69.9936° W",,,,GL,LH town = Harpswell (Bailey Island)
ME312,312,79,F,Hancock,Tremont (Bayside),ME,44.25222°N 68.36722°W﻿,,,,GL,
MA313,313,89,M,Essex,Beverly,MA,"42.5580° N, 70.8800° W",,,,MLH,
VT314,314,67,M,Rutland,Pawlet,VT,"43.3744° N, 73.2019° W",,,,BB,
VT315,315,55,F,Rutland,Pawlet,VT,"43.3744° N, 73.2019° W",,,,BB,
VT316,316,48,M,Bennington,Dorset,VT,"43.2667° N, 73.0667° W",,,,BB,
VT317,317,64,M,Windsor,Stockbridge,VT,"43.7617° N, 72.7369° W",,,,BB,
MA318,318,66,M,Berkshire,Williamstown (South Williamstown),MA,"42.7119° N, 73.2042° W",,,,BB,
MA319,319,37,M,Berkshire,Williamstown (South Williamstown),MA,"42.7119° N, 73.2042° W",,,,BB,
MA320,320,67,F,Worcester,Nendon,MA,??,,,,RH,
MA321,321,84,M,Berkshire,Cheshire,MA,"42.5619° N, 73.1633° W",,,,BB,
MA322,322,40,M,Berkshire,Cheshire,MA,"42.5619° N, 73.1633° W",,,,BB,
VT323,323,69,M,Windham,Wilmington,VT,"42.8831° N, 72.8672° W",,,,BB,
VT324,324,58,M,Windham,Wilmington,VT,"42.8831° N, 72.8672° W",,,,BLANK,
MA325,325,83,M,Worcester,Uxbridge,MA,"42.0391° N, 71.6211° W",,,,RH,
MA326,326,74,F,Essex,Beverly,MA,"42.5580° N, 70.8800° W",,,,MLH,
MA327,327,67,M,Franklin,Farmington (West Farmington),MA,"42.27917°N, 71.4166° W",,,,GL,
ME328,328,84,F,Piscataquis,Dover-Foxcroft (Dover),ME,"45.1861° N, 69.2203° W",,,,GL,
ME329,329,68,F,Piscataquis,Dover-Foxcroft (Dover),ME,"45.1861° N, 69.2203° W",,,,GL,
ME330,330,68,F,Penobscot,Brewer,ME,"44.7967° N, 68.7614° W",,,,GL,
ME331,331,72,M,Androscoggin,Turner,ME,"42.5988° N, 72.5569° W",,,,GL,
ME332,332,83,M,Androscoggin,Webster (Sabattus),ME,"42.0500° N, 71.8806° W",,,,GL,
ME333,333,42,M,Androscoggin,Webster (Sabattus),ME,"42.0500° N, 71.8806° W",,,,GL,
NH334,334,71,F,Coos,Lancaster,NH,"44.4889° N, 71.5692° W",,,,GL,
NH335,335,75,M,Grafton,Haverhill,NH,"44.0342° N, 72.0639° W",,,,GL,
NH336,336,83,M,Grafton,Haverhill,NH,"44.0342° N, 72.0639° W",,,,GL,
VT337,337,77,F,Orange,Newbury (Jefferson Hill),VT,"44.0811° N, 72.0583° W",,,,GL,
VT338,338,57,M,Essex,Lemington,VT,"44.9238° N, 71.5569° W",,,,GL,
VT339,339,68,M,Caledonia,Lyndon (East Lyndon),VT,"44.5358° N, 72.0053° W",,,,GL,
VT340,340,81,M,Caledonia,St. Johnsbury (St. Johnsbury Center),VT,"44.4336° N, 72.0150° W",,,,GL,
VT341,341,71,F,Caledonia,Barnet,VT,"44.3081° N, 72.0833° W",,,,GL,"Poss Ryegate (Ryegate) Inf.; p 212; Bio ""now lives in Barnet"""
RI342,342,55,F,Providence,Providence,RI,"41.8236° N, 71.4222° W",,,,RH,
VT343,343,86,M,Orange,Topsham,VT,"44.1286° N, 72.2566° W",,,,BB,
MA344,344,37,M,Worcester,Oxford,MA,"42.1166° N, 71.8652° W﻿",,,,RH,LH age = 87
VT345,345,85,M,Washington,Calais (East Calais),VT,"44.3633° N, 72.4664° W",,,,BB,
VT346,346,73,M,Washington,Calais (North Calais),VT,"44.3633° N, 72.4664° W",,,,BB,
VT347,347,70,M,Washington,Northfield (Northfield),VT,"44.1411° N, 72.6644° W",,,,BB,
VT348,348,69,F,Washington,Northfield (West Hill),VT,"44.1411° N, 72.6644° W",,,,BB,
MA349,349,75,F,Norfolk,Franklin,MA,"42.0833° N, 71.4000° W",,,,RH,Poss Norfolk Inf. LH p 184
MA350,350,60,F,Worcester,Charlton (Center),MA,"42.1355° N, 71.9705° W",,,,RH,LH town = Charlton (Charlton Depot)
VT351,351,63,M,Caledonia,Ryegate (North Ryegate),VT,"44.2100° N, 72.1006° W",,,,GL,
NH352,352,80,M,Coos,Lancaster (East),NH,"44.4889° N, 71.5692° W",,,,GL,LH town = just Lancaster
NH353,353,73,M,Coos,Columbia (East Columbia),NH,"44.8777° N, 71.5141° W",,,,GL,
NH354,354,56,M,Grafton,Plymouth,NH,"43.7575° N, 71.6886° W",,,,GL,
NH355,355,52,F,Grafton,Plymouth,NH,"43.7575° N, 71.6886° W",,,,GL,
NH356,356,77,M,Grafton,Canaan,NH,"43.6467° N, 72.0103° W",,,,GL,
NH357,357,75,M,Grafton,Canaan,NH,"43.6467° N, 72.0103° W",,,,GL,
ME358,358,71,F,Aroostook,Fort Fairfield,ME,"46.7722° N, 67.8344° W﻿",,,,GL,
ME359,359,71,M,Aroostook,Fort Fairfield,ME,"46.7722° N, 67.8344° W﻿",,,,GL,
ME360,360,71,F,Somerset,Skowhegan,ME,"44.7648° N, 69.7184° W",,,,GL,
ME361,361,22,M,Franklin,Farmington (Farmington),ME,"42.2791° N, 71.4166° W﻿",,,,GL,
ME362,362,70,M,Aroostook,Ashland,ME,"42.2611° N, 71.4639° W",,,,GL,
ME363,363,47,F,Aroostook,Houlton,ME,"46.1255° N, 67.8397° W",,,,GL,
ME364,364,85,M,Aroostook,Houlton,ME,"46.1255° N, 67.8397° W",,,,GL,
ME365,365,43,M,Aroostook,Fort Kent (Fort Kent Mills),ME,"47.2419° N, 68.5722° W",,,,GL,LH town = just Fort Kent
ME366,366,53,M,Somerset,Norridgewock (South Norridgewock),ME,"44.7158° N, 69.7911° W",,,,GL,LH town = just Norridgewock
ME367,367,62,M,Penobscot,Lincoln,ME,"44.0000° N, 69.5300° W",,,,GL,"Poss Lee Inf.; bio ""lived in Lincoln"" p 236 LH"
ME368,368,73,M,Androscoggin,Turner (Chase Mills),ME,"41.6916°N, 71.1463° W﻿",,,,GL,LH town = just Turner
NB369,369,76,M,Carleton,Brighton (Hartland),NB,"46.3550° N, 67.3600° W",,,,GL,LH county = Victoria-Carleton
NB370,370,57,M,Carleton,Woodstock,NB,"46.1522° N, 67.5983° W",,,,GL,LH county = Victoria-Carleton
NB371,371,72,M,York,Southampton (Lower Southampton),NB,"45.9670° N, 67.2500° W",,,,GL,LH county = York-Sunbury
MA372,372,85,M,Berkshire,Pittsfield,MA,"42.4500° N, 73.2500° W",,,,BB,
CT373,373,60-65,F,Windham,Pomfret (Abingdon),CT,"41.8667° N, 71.9833° W",,,,RH,LH town = just Pomfret
NH374,374,BLANK,M,Grafton,Hanover,NH,"43.7022° N, 72.2894° W",,,,LSH,Cannot distinguish from Inf. 375; p 220 LH
NH375,375,BLANK,M,Grafton,Hanover,NH,"43.7022° N, 72.2894° W",,,,LSH,Cannot distinguish from Inf. 374; p 220 LH
NH376,376,BLANK,M,Grafton,Orfordville,NH,"43.9050° N, 72.1375° W",,,,LSH,LH town = Orford (Orfordville)
ME377,377,90,F,Penobscot,Lincoln,ME,"44.0000° N, 69.5300° W",,,,GL,
NB378,378,79,F,Queens,Elm Hill (Hampstead),NB,"45.6245° N, 66.0852° W",,,,GL,LH town = Hampstead (Elm Hill); LH county = Royal
ME379,379,63,M,Franklin,Kingfield,ME,"44.9738° N, 70.1675° W",,,,GL,No matching Inf.;  Franklin County p 227 LH
ME380,380,61,F,Washington,Waite,ME,"45.3755° N, 67.6425° W",,,,GL,
NB381,381,53,M,Kingston,St. John (Whitehead),NB,"44.6312° N, 66.7079° W",,,,GL,LH parish = Kingston (White Head); LH county = Royal; LH p 239
NB382,382,52,F,St. John,St. John,NB,"45.2796° N, 66.0628° W",,,,BLANK,LH county = St. John-Albert; p 239 LH
NB383,383,77,F,Charlotte,Bay Side (St. Croix),NB," 45.1280° N, 67.1050° W",,,,GL,LH town = St. Croix (Bay Side)
CT384,384,79,M,Tolland,Tolland ,CT,"41.8721° N, 72.3694° W",,,,BB,
CT385,385,54,M,Tolland,Tolland ,CT,"41.8721° N, 72.3694° W",,,,BB,
CT386,386,77,M,Hartford,East Windsor (Scantic),CT,"41.9167° N, 72.5578° W",,,,BB,
CT387,387,53,M,Hartford,East Windsor (Broadbrook),CT,"41.9167° N, 72.5578° W",,,,BB,LH town = East Windsor (Broad Brook)
MA388,388,79,F,Nantucket ,Nantucket (Quase),MA,"41.2833° N, 70.0833° W",,,,GL,
MA389,389,83,M,Nantucket ,Nantucket ,MA,"41.2833° N, 70.0833° W",,,,GL,LH town = Nantucket (Nantucket)
MA390,390,78,M,Nantucket ,Nantucket (Siasconset),MA,"41.2625° N, 69.9661° W",,,,GL,
MA391,391,61,M,Dukes (Martha's Vineyard),West Tisbury (Makonikey),MA,"41.4591° N, 70.6551° W",,,,GL,
MA392,392,56,F,Dukes (Martha's Vineyard),West Tisbury ,MA,"41.3811° N, 70.6750° W",,,,GL,"Poss Chilmark Inf.; p 183 LH; bio ""last 25 years in WT"""
MA393,393,82,M,Dukes (Martha's Vineyard),Edgartown,MA,"41.3888° N, 70.5138° W",,,,GL,LH town = Edgartown (Edgartown)
MA394,394,77,M,Dukes (Martha's Vineyard),Edgartown (Edgartown Plains),MA,"41.3888° N, 70.5138° W",,,,GL,
MA395,395,85,M,Nantucket ,Polpis,MA,"41.2983° N, 70.0127° W",,,,GL,LH town = Nantucket (Polpis)
MA396,396,85,M,Nantucket ,Nantucket (Siasconset),MA,"41.2625° N, 69.9661° W",,,,GL,
MA397,397,75,M,Suffolk,Boston,MA,"42.3581° N, 71.0636° W",,,,MLH,
MA398,398,85,M,Essex,Marblehead,MA,"42.5000° N, 70.8583° W",,,,MLH,
MA399,399,68,M,Essex,Marblehead,MA,"42.5000° N, 70.8583° W",,,,MLH,
CT400,400,79,M,Tolland,Somers,CT,"41.9833° N, 72.4494° W",,,,BB,LH town = Somers (North Somers)
CT401,401,54,M,Tolland,Somers,CT,"41.9833° N, 72.4494° W",,,,BB,LH town = Somers (Somers)
MA402,402,48,M,Middlesex,Billerica,MA,"42.5583° N, 71.2694° W",,,,GL,LH town = Billerica (Billerica Center)
MA403,403,77,M,Middlesex,Billerica,MA,"42.5583° N, 71.2694° W",,,,GL,LH town = Billerica (East Billerica)
MA404,404,56,M,Essex,Topsfield,MA,"42.6375° N, 70.9500° W",,,,GL,LH town = Topsfield (South Topsfield)
CT405,405,83,F,Tolland,Hebron,CT,"41.6528° N, 72.3914° W",,,,RH,
CT406,406,84,F,Windham,Woodstock,CT,"41.9667° N, 72.0167° W",,,,RH,
CT407,407,58,F,Windham,Windham (Willimantic),CT,"41.7167° N, 72.1667° W",,,,RH,
CT408,408,82,F,Windham,Windham (Center),CT,"41.7167° N, 72.1667° W",,,,RH,LH town = Windham (Windham Center)
MA409,409,60,F,Middlesex,Weston,MA,"42.3667° N, 71.3031° W",,,,MLH,
MA410,410,69,M,Middlesex,Burlington,MA,"42.5047° N, 71.1961° W",,,,GL,
MA411,411,74,M,Middlesex,Concord,MA,"42.4603° N, 71.3494° W",,,,GL,
NY412,412,63,M,Suffolk,East Hampton,NY,"40.9569° N, 72.1989° W",,,,GL,LH town = Easthampton; in LH under Long Island
NY413,413,85,M,Suffolk,Southampton (Sagaponack),NY,"40.9419° N, 72.2811° W",,,,GL,in LH under Long Island
NY414,414,80,F,Suffolk,Southampton (Bridghampton),NY,"40.9331° N, 72.3081° W",,,,GL,"Poss Easthampton Inf. P 174 bio ""lived…in Bridgehampton""; in LH under Long Island"
NY415,415,53,M,Suffolk,Southold (Orient),NY,"41.1453° N, 72.2886° W",,,,GL,in LH under Long Island
MA416,416,73,M,Middlesex,Concord,MA,"42.4603° N, 71.3494° W",,,,GL,
CT417,417,73,M,New London,New London,CT,"41.3541° N, 72.1010° W",,,,RH,
CT418,418,69,M,New London,East Lyme (Flanders),CT,"41.3531° N, 72.2294° W",,,,RH,LH town = East Lyme (Niantic)
CT419,419,83,F,New London,New London,CT,"41.3541° N, 72.1010° W",,,,RH,
MA420,420,86,M,Suffolk,Boston,MA,"42.3581° N, 71.0636° W",,,,MLH,
MA421,421,71,M,Middlesex,Weston,MA,"42.3667° N, 71.3031° W",,,,MLH,
CT422,422,BLANK,BLANK,BLANK,Glastonbury,CT,"41.6869° N, 72.5447°W",,,,HK,"LH age = 70, presumed male; LH county = Hartford"
MA423,423,51,F,Hampshire,Pelham,MA," ﻿42.3930° N, 72.4041° W",,,,BB,"No matching Inf.; Hampshire County p 195, 197-199 LH"
MA424,424,56,M,Norfolk,Sharon,MA,"42.1236° N, 71.1786° W",,,,MLH,
MA425,425,87,M,Norfolk,Foxborough,MA,"42.0653° N, 71.2483° W",,,,MLH,
MA426,426,72,M,Middlesex,Sherborn,MA,"42.2388° N, 71.3702° W",,,,BB,LH town = Sherborn (Sherborn)
MA427,427,82,M,Middlesex,Sherborn,MA,"42.2388° N, 71.3702° W",,,,BB,LH age = 80; LH town = Sherborn (Sherborn Center)
MA428,428,61,M,Suffolk,Boston,MA,"42.3581° N, 71.0636° W",,,,BB,
MA429,429,BLANK,F,Suffolk,Boston,MA,"42.3581° N, 71.0636° W",,,,BB,LH age = 46
